Numero de reglas,C,Penalty,Solver,Iteraciones,Accuracy,Precision,Recall,F1 Score,Media,Tiempo
2,0.5,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.4791595935821533
2,1.0,l2,saga,5000,0.95905,0.8634505314799673,0.6182669789227166,0.7205731832139202,0.790335173404151,1.4818799495697021
2,0.01,l2,saga,5000,0.88885,0.42703315386795127,0.8823185011709602,0.5755203360702692,0.6934304977772952,0.6857213973999023
2,0.1,l2,saga,5000,0.8888,0.42691218130311614,0.8823185011709602,0.5754104620084002,0.6933602861206192,1.9040069580078125
2,0.5,l2,saga,5000,0.88865,0.4265496744975941,0.8823185011709602,0.575081091394772,0.6931498167658317,0.5913379192352295
2,1.0,l2,saga,5000,0.8886,0.4264289756649689,0.8823185011709602,0.5749713849675696,0.6930797154508747,3.192451000213623
2,0.01,l2,saga,5000,0.89025,0.4304086881966276,0.8817330210772834,0.5784520837334357,0.6952109482518367,0.9205965995788574
2,0.1,l2,saga,5000,0.8898,0.4292641186537364,0.8811475409836066,0.5772919064058305,0.6943758915107934,2.886063575744629
2,0.5,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,9.125295400619507
2,1.0,l2,saga,5000,0.88975,0.4291417165668663,0.8811475409836066,0.5771812080536913,0.694305116401041,14.040868520736694
3,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.9336583614349365
3,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,1.17238187789917
3,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.8458747863769531
3,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.1420388221740723
3,0.01,l2,saga,5000,0.94625,0.983206106870229,0.3770491803278688,0.5450698264917477,0.7128937784224614,0.5089938640594482
3,0.1,l2,saga,5000,0.95445,0.9120992761116856,0.5163934426229508,0.6594392523364486,0.7605954927677712,0.5141639709472656
3,0.5,l2,saga,5000,0.9563,0.8971428571428571,0.5515222482435597,0.6831036983321247,0.7720172009296353,0.6357772350311279
3,1.0,l2,saga,5000,0.956,0.8898305084745762,0.5532786885245902,0.6823104693140795,0.7703549165783115,1.0491371154785156
3,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.8606486320495605
3,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,1.1956024169921875
3,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.5997767448425293
3,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.368138074874878
3,0.01,l2,saga,5000,0.95625,0.9031945788964182,0.5462529274004684,0.6807734403502371,0.7716177366617809,0.8058316707611084
3,0.1,l2,saga,5000,0.9563,0.8868274582560297,0.5597189695550351,0.6862885857860732,0.7722837533992846,0.9836380481719971
3,0.5,l2,saga,5000,0.95635,0.8855032317636196,0.5614754098360656,0.6872088857040487,0.7726343818259335,1.5761969089508057
3,1.0,l2,saga,5000,0.9564,0.8856088560885609,0.5620608899297423,0.6876790830945558,0.7729372072782147,1.3726003170013428
3,0.01,l2,saga,5000,0.8309,0.3189878892733564,0.8635831381733021,0.4658875552747947,0.6198396456803632,1.6308703422546387
3,0.1,l2,saga,5000,0.83085,0.3188405797101449,0.8629976580796253,0.46564523771915967,0.6195833688772324,1.8001787662506104
3,0.5,l2,saga,5000,0.83085,0.318762172689894,0.8624121779859485,0.46547637857481433,0.6193751823126642,2.7348577976226807
